date,Total new users in the site,Clicks on download from anywhere,CLI downloads (from web),CLI downloads (from NPM),Total CLI downloads,First run of the CLI,Total pushes from the CLI,Successful pushes from the CLI,First pushes from the CLI,Visit the showcase after push - method 1,Visit the showcase after push - method 2
2018-01-07,3825,0,0,0,0,0,0,0,0,21,0
2018-01-08,4341,0,0,0,0,0,0,0,0,24,0
2018-01-09,4586,0,0,0,0,0,0,0,0,29,0
2018-01-10,4727,0,0,0,0,0,0,0,0,29,0
2018-01-11,4824,0,0,0,0,0,0,0,0,26,0
2018-01-12,4837,0,0,0,0,0,0,0,0,25,0
2018-01-13,4851,0,0,0,0,0,0,0,0,25,0
2018-01-14,4880,0,0,0,0,0,0,0,0,25,0
2018-01-15,4887,0,0,0,0,0,0,0,0,24,0
2018-01-16,4940,0,0,0,0,0,0,0,0,22,0
2018-01-17,4917,0,0,0,0,0,0,0,0,23,0
2018-01-18,4914,0,0,0,0,0,0,0,0,32,0
2018-01-19,4976,0,0,0,0,0,0,0,0,35,0
2018-01-20,4999,0,0,0,0,0,0,0,0,33,0
2018-01-21,4947,0,0,0,0,0,0,0,0,31,0
2018-01-22,5096,0,0,0,0,0,0,0,0,28,0
2018-01-23,5126,0,0,0,0,0,0,0,0,28,0
2018-01-24,5192,0,0,3,3,0,0,0,0,30,0
2018-01-25,5174,0,0,26,26,0,0,0,0,23,0
2018-01-26,5164,0,0,54,54,0,0,0,0,20,0
2018-01-27,5171,0,0,54,54,0,0,0,0,22,0
2018-01-28,5236,0,0,56,56,0,0,0,0,24,0
2018-01-29,5298,0,0,60,60,0,0,0,0,27,0
2018-01-30,5328,0,0,62,62,0,0,0,0,27,0
2018-01-31,5303,0,0,75,75,0,0,0,0,24,0
2018-02-01,5364,0,0,57,57,0,0,0,0,25,0
2018-02-02,5422,0,0,31,31,0,0,0,0,30,0
2018-02-03,5433,0,0,31,31,0,0,0,0,30,0
2018-02-04,5429,0,0,32,32,0,0,0,0,32,0
2018-02-05,5389,0,0,29,29,0,0,0,0,35,0
2018-02-06,5408,0,0,29,29,0,0,0,0,36,0
2018-02-07,5455,0,0,42,42,0,0,0,0,41,0
2018-02-08,5511,0,0,92,92,0,0,0,0,38,0
2018-02-09,5677,0,0,112,112,0,0,0,0,30,0
2018-02-10,5756,0,0,120,120,0,0,0,0,28,0
2018-02-11,5788,0,0,117,117,0,0,0,0,24,0
2018-02-12,5783,0,0,141,141,0,0,0,0,23,0
2018-02-13,5678,0,0,283,283,0,0,0,0,22,0
2018-02-14,5668,0,0,407,407,0,0,0,0,17,0
2018-02-15,5601,0,0,423,423,0,0,0,0,22,0
2018-02-16,5402,0,0,603,603,0,0,0,0,24,0
2018-02-17,5292,0,0,609,609,0,0,0,0,24,0
2018-02-18,5251,0,0,639,639,0,0,0,0,24,0
2018-02-19,5174,0,0,722,722,0,0,0,0,21,0
2018-02-20,5253,0,0,665,665,0,0,0,0,19,0
2018-02-21,5252,0,0,728,728,0,0,0,0,21,0
2018-02-22,5343,0,0,762,762,0,0,0,0,18,0
2018-02-23,5356,0,0,696,696,0,0,0,0,22,0
2018-02-24,5386,0,0,685,685,0,0,0,0,22,0
2018-02-25,5422,0,0,666,666,0,0,0,0,24,0
2018-02-26,5588,0,0,597,597,0,0,0,0,24,0
2018-02-27,5646,0,0,591,591,0,0,0,0,28,0
2018-02-28,5662,0,0,533,533,0,0,0,0,27,0
2018-03-01,5610,0,0,528,528,0,0,0,0,30,0
2018-03-02,5574,0,0,426,426,0,0,0,0,31,0
2018-03-03,5573,0,0,495,495,0,0,0,0,32,0
2018-03-04,5588,0,0,486,486,0,0,0,0,31,0
2018-03-05,5489,0,0,568,568,0,0,0,0,31,0
2018-03-06,5494,0,0,524,524,0,0,0,0,28,0
2018-03-07,5546,0,0,410,410,0,0,0,0,32,0
2018-03-08,5519,0,0,409,409,0,0,0,0,29,0
2018-03-09,5629,0,0,379,379,0,0,0,0,22,0
2018-03-10,5671,0,0,308,308,0,0,0,0,22,0
2018-03-11,5738,0,0,307,307,0,0,0,0,22,0
2018-03-12,5801,0,0,210,210,0,0,0,0,20,0
2018-03-13,5913,0,0,281,281,0,0,0,0,22,0
2018-03-14,5980,0,0,345,345,0,0,0,0,18,0
2018-03-15,6214,0,0,699,699,0,1,0,0,18,0
2018-03-16,6199,0,0,963,963,0,1,0,0,22,0
2018-03-17,6199,0,0,1007,1007,0,5,0,0,22,0
2018-03-18,6233,0,0,1072,1072,0,14,0,0,22,0
2018-03-19,6349,0,0,1080,1080,0,28,0,0,24,0
2018-03-20,6337,0,0,978,978,0,41,0,0,21,0
2018-03-21,5760,0,0,871,871,0,42,0,0,17,0
2018-03-22,5701,0,0,423,423,0,45,0,0,15,0
2018-03-23,5780,0,0,160,160,0,49,0,0,13,0
2018-03-24,5790,0,0,118,118,0,49,0,0,13,0
2018-03-25,5724,0,0,53,53,0,46,0,0,13,0
2018-03-26,5706,0,0,36,36,0,32,0,0,11,0
2018-03-27,5813,0,0,76,76,1,19,0,0,11,0
2018-03-28,6535,0,0,199,199,4,37,0,0,15,0
2018-03-29,6399,0,0,198,198,5,35,0,0,14,0
2018-03-30,6156,0,0,196,196,6,31,0,0,14,0
2018-03-31,6140,0,0,231,231,12,27,0,0,14,0
2018-04-01,6056,0,0,233,233,18,28,0,0,14,0
2018-04-02,5739,0,0,219,219,20,29,0,0,16,0
2018-04-03,5607,0,0,196,196,23,29,0,0,15,0
2018-04-04,5446,0,0,77,77,24,11,0,0,12,0
2018-04-05,5596,0,0,74,74,28,22,0,0,14,0
2018-04-06,5840,0,0,76,76,33,28,0,0,14,0
2018-04-07,5804,0,0,40,40,27,28,0,0,14,0
2018-04-08,5819,0,0,39,39,21,24,0,0,14,0
2018-04-09,6036,1,1,40,41,24,25,0,0,13,0
2018-04-10,6108,19,8,29,37,27,36,0,0,14,0
2018-04-11,6086,44,13,120,133,28,40,0,0,15,0
2018-04-12,6019,72,17,133,150,24,29,0,0,13,0
2018-04-13,5990,93,22,171,193,19,27,0,0,13,0
2018-04-14,6027,112,24,172,196,19,27,0,0,13,0
2018-04-15,6176,127,27,174,201,19,29,0,0,13,0
2018-04-16,6342,143,31,185,216,14,33,0,0,15,0
2018-04-17,6445,151,28,323,351,11,33,0,0,19,0
2018-04-18,6528,153,27,249,276,9,29,0,0,18,0
2018-04-19,6574,146,30,246,276,12,45,0,0,21,0
2018-04-20,6576,148,34,360,394,12,49,0,0,22,0
2018-04-21,6606,142,34,363,397,12,49,0,0,22,0
2018-04-22,6575,143,35,360,395,12,53,0,0,23,0
2018-04-23,6557,158,37,349,386,13,51,0,0,23,0
2018-04-24,6438,153,40,207,247,12,60,3,0,19,0
2018-04-25,6451,146,40,186,226,10,59,3,0,20,0
2018-04-26,6385,145,39,238,277,6,48,6,0,18,0
2018-04-27,6298,140,34,129,163,5,40,6,0,18,0
2018-04-28,6269,141,37,127,164,8,44,8,1,18,0
2018-04-29,6169,137,35,128,163,8,35,8,1,17,0
2018-04-30,5881,125,32,128,160,9,31,8,1,16,0
2018-05-01,5505,116,29,145,174,8,11,5,1,13,0
2018-05-02,5395,122,32,169,201,7,11,5,1,11,0
2018-05-03,5362,118,35,110,145,8,17,8,2,8,0
2018-05-04,5381,117,35,66,101,9,40,18,3,6,0
2018-05-05,5321,114,33,65,98,7,36,16,2,6,0
2018-05-06,5308,113,41,65,106,8,40,17,3,5,0
2018-05-07,5447,122,49,67,116,8,40,17,3,2,0
2018-05-08,5826,130,51,45,96,8,40,17,3,2,0
2018-05-09,5754,127,50,71,121,11,52,17,3,2,0
2018-05-10,5643,133,43,69,112,13,57,11,2,2,0
2018-05-11,5642,138,50,67,117,12,44,4,2,4,0
2018-05-12,5639,139,49,90,139,11,50,4,2,4,0
2018-05-13,5597,135,41,90,131,10,46,3,1,3,0
2018-05-14,5669,127,37,89,126,11,73,13,2,11,0
2018-05-15,5553,132,35,91,126,9,95,15,2,20,0
2018-05-16,5667,130,34,42,76,9,116,34,3,20,0
2018-05-17,5762,122,34,44,78,9,116,44,3,20,0
2018-05-18,5784,118,24,49,73,10,129,51,3,20,0
2018-05-19,5834,118,25,48,73,11,123,51,3,20,0
2018-05-20,5829,122,25,48,73,11,128,51,3,23,0
2018-05-21,5631,118,20,48,68,9,101,41,2,15,0
2018-05-22,5507,110,19,47,66,11,92,45,2,6,0
2018-05-23,5434,104,20,70,90,9,64,28,1,6,0
2018-05-24,5438,103,20,68,88,6,46,18,1,6,0
2018-05-25,5467,96,20,64,84,5,32,12,0,3,0
2018-05-26,5407,93,20,39,59,5,32,12,0,3,0
2018-05-27,5371,92,18,37,55,5,27,12,0,0,0
2018-05-28,5324,96,19,34,53,5,31,14,0,0,0
2018-05-29,5396,94,18,30,48,4,22,10,0,0,0
2018-05-30,5334,89,14,5,19,4,21,10,0,0,0
2018-05-31,5206,93,15,3,18,5,22,10,0,0,0
2018-06-01,5072,93,17,0,17,6,13,6,0,0,0
2018-06-02,5111,91,16,0,16,6,52,24,0,0,0
2018-06-03,5254,87,18,0,18,6,52,24,0,0,0
2018-06-04,5433,79,15,0,15,5,51,22,0,0,0
2018-06-06,5719,73,16,0,16,5,51,22,0,0,0
2018-06-07,5770,82,17,0,17,5,78,33,0,0,0
2018-06-08,5842,78,15,0,15,5,99,42,0,0,0
2018-06-09,5522,76,14,0,14,7,107,43,1,0,0
2018-06-10,5551,77,14,0,14,12,97,35,5,0,0
2018-06-11,6193,81,14,0,14,14,115,41,6,0,0
2018-06-12,6487,79,16,0,16,15,117,43,7,1,0
2018-06-13,6508,90,16,0,16,16,125,47,7,3,0
2018-06-14,6781,82,14,0,14,17,102,38,7,6,0
2018-06-15,6834,84,15,0,15,17,92,38,7,6,0
2018-06-16,6872,85,14,0,14,16,90,39,6,7,0
2018-06-17,6890,84,12,0,12,10,73,40,2,7,0
2018-06-18,6856,100,17,0,17,11,56,35,1,7,0
2018-06-19,6768,101,15,0,15,15,68,39,0,6,0
2018-06-20,6666,92,17,0,17,14,60,35,0,4,0
2018-06-21,6567,89,16,0,16,15,73,42,1,1,0
2018-06-22,6536,79,16,0,16,16,70,40,1,1,0
2018-06-23,6568,73,15,6,21,18,73,42,2,0,0
2018-06-24,6674,68,15,6,21,18,61,31,2,0,0
2018-06-25,6782,50,11,6,17,17,70,34,4,0,0
2018-06-26,6885,43,12,6,18,17,65,33,5,1,0
2018-06-27,6809,37,13,6,19,19,65,33,5,1,0
2018-06-28,6637,33,13,6,19,19,52,25,5,1,0
2018-06-29,6504,41,12,6,18,19,51,21,6,1,0
2018-06-30,6393,40,12,0,12,16,46,19,5,1,0
2018-07-01,6164,40,13,3,16,16,46,19,5,1,0
2018-07-02,5890,37,12,3,15,20,62,27,3,1,0
2018-07-03,5545,38,11,6,17,17,62,28,2,0,0
2018-07-04,5274,44,6,13,19,21,74,32,2,0,0
2018-07-05,5335,43,7,13,20,21,78,35,1,0,0
2018-07-06,5395,38,7,17,24,22,90,42,0,0,0
2018-07-07,5440,38,7,20,27,22,94,44,0,0,0
2018-07-08,5543,37,6,69,75,24,110,52,0,0,0
2018-07-09,5683,45,6,72,78,19,92,44,0,0,0
