date,total users,users on pages with premium offer,users on showcase pages with premium offer,users on core datasets,users on sports data,users on machine learning data,users on crypto data,users on s&p500 datasets,users on world bank datasets,users on unece datasets,users on search page,users on collections pages,users on dashboard page,users on pricing page,total clicks,clicks on showcase pages,clicks on core data,clicks on sports data,clicks on machine learning,clicks on cryptocurrency data,clicks on s-and-p-500-financial-data,clicks on world-bank data,clicks on unece data,clicks on search page,clicks on collections pages,clicks on dashboard page,clicks on pricing page,total submissions,showcase page submissions,core data submissions,sports data submissions,machine learning submissions,crypto data submissions,s&p 500 submissions,world bank submissions,unece submissions,search page submissions,collections pages submissions,dashboard page submissions,pricing page submissions
2018-08-30,991,855,746,718,18,9,0,0,11,0,109,95,17,20,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-31,1004,862,732,686,28,17,1,0,4,0,96,124,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,537,455,379,348,20,13,0,0,8,0,53,83,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-02,535,447,370,343,18,11,1,0,5,0,60,57,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-03,1162,945,819,777,33,14,1,0,13,0,98,130,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-04,1365,1176,1019,970,32,22,2,0,13,0,110,152,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-05,1443,1255,1045,982,38,21,1,0,16,0,177,167,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-06,1506,1296,1071,1019,35,24,2,0,15,0,223,147,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-07,1334,1134,922,867,42,13,3,0,9,0,158,167,17,35,28,27,27,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-08,601,491,411,371,24,18,0,0,10,0,77,79,7,13,20,19,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-09,658,543,446,404,32,12,1,0,12,0,74,87,10,20,24,22,22,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-09-10,1508,1232,1032,967,34,24,1,0,16,2,136,166,16,26,47,45,41,4,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
2018-09-11,1567,1322,1133,1062,44,19,0,0,18,0,140,181,19,24,70,68,66,0,0,0,0,2,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-09-12,1552,1305,1103,1012,61,26,0,0,12,0,158,197,15,25,45,45,42,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-09-13,1444,1227,1031,965,44,22,1,0,9,0,148,205,23,25,41,41,37,3,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-09-14,1317,1089,926,875,34,17,0,0,9,0,111,173,10,18,40,40,39,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2018-09-15,752,602,480,435,28,13,0,0,14,0,68,137,13,15,35,33,27,5,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0
2018-09-16,750,611,505,454,31,19,1,0,9,1,85,117,7,11,31,30,25,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-17,1585,1377,1182,1113,49,15,1,0,14,0,153,200,23,30,67,63,56,6,1,0,0,0,0,1,0,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0
2018-09-18,1639,1402,1186,1100,46,44,1,0,9,0,132,217,15,21,49,46,42,3,1,0,0,0,0,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2018-09-19,1756,1507,1287,1171,65,55,2,0,11,0,145,247,15,42,72,70,66,2,1,0,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0
2018-09-20,1575,1361,1155,1076,50,28,3,0,10,0,136,205,18,26,77,73,70,3,0,0,0,0,0,0,0,2,2,5,4,3,1,0,0,0,0,0,0,0,1,0
2018-09-21,1386,1174,977,906,43,26,1,0,9,0,125,209,16,29,56,52,46,5,1,0,0,0,0,0,3,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0
2018-09-22,770,618,509,425,38,44,0,0,9,0,84,117,15,14,24,22,19,2,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
2018-09-23,724,612,517,462,38,19,0,0,11,0,59,107,11,11,26,25,24,1,0,0,0,0,0,0,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2018-09-24,1934,1327,1135,1052,46,31,1,0,23,0,133,205,10,29,67,65,57,5,1,0,0,2,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
