date,total users,users on pages with premium offer,users on showcase pages with premium offer,users on core datasets,users on sports data,users on machine learning data,users on crypto data,users on s&p500 datasets,users on world bank datasets,users on unece datasets,users on search page,users on collections pages,users on dashboard page,users on pricing page,total clicks,clicks on showcase pages,clicks on core data,clicks on sports data,clicks on machine learning,clicks on cryptocurrency data,clicks on s-and-p-500-financial-data,clicks on world-bank data,clicks on unece data,clicks on search page,clicks on collections pages,clicks on dashboard page,clicks on pricing page,total submissions,showcase page submissions,core data submissions,sports data submissions,machine learning submissions,crypto data submissions,s&p 500 submissions,world bank submissions,unece submissions,search page submissions,collections pages submissions,dashboard page submissions,pricing page submissions
2018-09-07,7882,6708,5625,5306,218,118,10,0,79,0,879,903,109,161,28,27,27,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-08,7946,6744,5657,5329,222,123,10,0,81,0,903,899,106,165,48,46,46,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-09,8069,6840,5733,5390,236,124,10,0,88,0,917,929,103,175,72,68,68,0,0,0,0,0,0,4,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0
2018-09-10,8415,7127,5946,5580,237,134,10,0,91,2,955,965,101,176,119,113,109,4,0,0,0,0,0,4,0,1,1,10,3,3,0,0,0,0,0,0,0,0,0,0
2018-09-11,8617,7273,6060,5672,249,131,8,0,96,2,985,994,105,181,189,181,175,4,0,0,0,2,0,6,0,1,1,11,4,4,0,0,0,0,0,0,0,0,0,0
2018-09-12,8726,7323,6118,5702,272,136,7,0,92,2,966,1024,100,176,234,226,217,6,0,0,0,3,0,6,0,1,1,10,5,5,0,0,0,0,0,0,0,0,0,0
2018-09-13,8664,7254,6078,5648,281,134,6,0,86,2,891,1082,107,168,275,267,254,9,0,0,0,4,0,6,0,1,1,9,6,6,0,0,0,0,0,0,0,0,0,0
2018-09-14,8647,7209,6082,5656,273,138,3,0,86,2,844,1088,100,151,287,280,266,9,1,0,0,4,0,5,0,1,1,7,6,6,0,0,0,0,0,0,0,0,1,0
2018-09-15,8798,7320,6151,5720,277,133,3,0,90,2,835,1146,106,153,302,294,274,14,1,0,0,5,0,4,0,1,3,8,7,6,1,0,0,0,0,0,0,0,1,0
2018-09-16,8890,7388,6210,5770,276,140,3,0,87,3,846,1176,103,144,309,302,277,19,1,0,0,5,0,3,0,1,3,7,6,5,1,0,0,0,0,0,0,0,1,0
2018-09-17,8967,7533,6360,5916,291,131,3,0,85,1,863,1210,110,148,329,320,292,21,2,0,0,5,0,4,0,2,3,8,7,6,1,0,0,0,0,0,0,0,1,0
2018-09-18,9039,7613,6413,5954,293,156,4,0,76,1,855,1246,106,145,308,298,268,24,3,0,0,3,0,3,1,3,3,9,8,7,1,0,0,0,0,0,0,0,1,0
2018-09-19,9243,7815,6597,6113,297,185,6,0,75,1,842,1296,106,162,335,323,292,24,4,0,0,3,0,4,2,3,3,10,8,7,1,0,0,0,0,0,0,1,1,0
2018-09-20,9374,7949,6721,6224,303,191,8,0,76,1,830,1296,101,163,371,355,325,24,4,0,0,2,0,4,2,5,5,14,11,9,2,0,0,0,0,0,0,1,2,0
2018-09-21,9443,8034,6772,6255,312,200,9,0,76,1,844,1332,107,174,387,367,332,29,4,0,0,2,0,4,5,5,6,15,13,10,3,0,0,0,0,0,0,1,1,0
2018-09-22,9461,8050,6801,6245,322,231,9,0,71,1,860,1312,109,173,376,356,324,26,5,0,0,1,0,4,5,5,6,15,13,11,2,0,0,0,0,0,0,1,1,0
2018-09-23,9435,8051,6813,6253,329,231,8,0,73,0,834,1302,113,173,371,351,323,22,5,0,0,1,0,3,6,5,6,18,16,14,2,0,0,0,0,0,0,1,1,0
2018-09-24,9784,8001,6766,6192,326,247,8,0,82,0,814,1307,100,172,371,353,324,21,5,0,0,3,0,2,7,3,6,16,14,11,2,0,0,0,1,0,0,1,1,0
2018-09-25,9851,8012,6787,6226,325,226,8,0,89,0,817,1312,101,174,376,358,328,23,4,0,0,3,0,2,7,2,7,15,13,10,2,0,0,0,1,0,0,1,1,0
2018-09-26,9897,7967,6728,6211,306,196,7,0,92,0,837,1299,102,153,361,343,310,26,5,0,0,2,0,1,8,2,7,14,13,10,2,0,0,0,1,0,0,0,1,0
2018-09-27,9919,7986,6737,6207,312,197,6,0,94,0,837,1326,102,152,349,335,299,26,6,0,0,4,0,1,8,0,5,9,9,7,1,0,0,0,1,0,0,0,0,0
2018-09-28,9958,8013,6792,6256,310,201,6,0,102,0,831,1301,101,142,341,328,294,22,6,0,0,6,0,2,6,1,4,7,7,6,0,0,0,0,1,0,0,0,0,0
2018-09-29,9958,8047,6819,6316,304,177,8,0,107,0,848,1307,94,148,341,330,295,23,6,0,0,6,0,2,6,1,2,6,6,5,0,0,0,0,1,0,0,0,0,0
